wavelength flux error flag
3691.0 8.68051203591257e-18 3.4738706715946773e-16 0
3692.0 9.964547355039834e-18 3.56260786257882e-16 0
3693.0 1.232045723803642e-17 3.262746215080543e-16 0
3694.0 1.491728659406766e-17 2.875541299493971e-16 0
3695.0 1.781936748151064e-17 2.246393815483074e-16 0
3696.0 2.0776229563271475e-17 1.5738267201329066e-16 0
3697.0 1.738285439350542e-17 2.0681661543019784e-16 0
3698.0 1.3117006775481896e-17 2.72282933014739e-16 0
3699.0 8.525164457956765e-18 3.1791938111123967e-16 0
3700.0 3.901303073337552e-18 3.61608147473727e-16 0
3701.0 6.501673134258903e-18 3.534006742419555e-16 0
3702.0 9.547456815075563e-18 3.4199351228054044e-16 0
3703.0 1.1482732154691272e-17 2.492992982022111e-16 0
3704.0 1.337321225862588e-17 1.5490300267430798e-16 0
3705.0 1.2196994819541813e-17 1.7385225980449161e-16 0
3706.0 1.1069923235634085e-17 1.946247111303065e-16 0
3707.0 1.1258625114470396e-17 2.6420922466224437e-16 0
3708.0 1.1294647798466945e-17 3.179710176149551e-16 0
3709.0 9.216964896272188e-18 1.5268153175946609e-16 0
3710.0 7.64123888088905e-18 1.840991733429351e-17 0
3711.0 1.0647833745579585e-17 1.672977607131569e-16 0
3712.0 1.3063153583330723e-17 2.868747902570125e-16 0
3713.0 1.1524545375092597e-17 2.1044684141897987e-16 0
3714.0 9.94077683419448e-18 1.5970204657218676e-16 0
3715.0 8.12244824576354e-18 2.4235400649099755e-16 0
3716.0 6.724460345202561e-18 3.1162170721939977e-16 0
3717.0 7.086225258033879e-18 3.2485631754000416e-16 0
3718.0 7.7992617281557e-18 3.319749624154244e-16 0
3719.0 9.728021078496467e-18 3.179267380353591e-16 0
3720.0 1.2183601490035866e-17 3.0859505952922993e-16 0
3721.0 1.617404543476689e-17 3.13004772166536e-16 0
3722.0 1.8760926208003327e-17 3.178621909764611e-16 0
3723.0 1.785902838090786e-17 3.2383245439929133e-16 0
3724.0 1.6931015713507242e-17 3.321413169355245e-16 0
3725.0 1.594706032823039e-17 3.454598823417735e-16 0
3726.0 1.567008725322699e-17 3.557357486360669e-16 0
3727.0 1.6708330579802775e-17 3.603512077052254e-16 0
3728.0 1.5156176979129905e-17 3.7145970246342617e-16 0
3729.0 9.39496301369912e-18 3.9311854140950943e-16 0
3730.0 5.484070163451902e-18 4.052225145838652e-16 0
3731.0 4.210315569110102e-18 4.037085801151122e-16 0
3732.0 3.0011844757473718e-18 4.016162772499403e-16 0
3733.0 1.8730793475287382e-18 3.987988069639587e-16 0
3734.0 3.636146550632481e-19 3.714870915368816e-16 0
3735.0 -1.5672641296663392e-18 3.1710847901437097e-16 0
3736.0 -1.3221281851513946e-18 3.208109488019683e-16 0
3737.0 1.0439115573331056e-18 3.8112350785328004e-16 0
3738.0 3.8380509424016604e-18 4.050075644087382e-16 0
3739.0 7.000150409398922e-18 3.9758060495398647e-16 0
3740.0 1.113104193050507e-17 3.7556389104033445e-16 0
3741.0 1.5995363658883272e-17 3.425019104035958e-16 0
3742.0 1.760049039677456e-17 3.134485232299847e-16 0
3743.0 1.7037290296666625e-17 2.870620341137461e-16 0
3744.0 1.3582516345655244e-17 2.9575310653807737e-16 0
3745.0 8.442988007840552e-18 3.248818640194146e-16 0
3746.0 5.526543419495936e-18 3.54325869568728e-16 0
3747.0 3.738995659316612e-18 3.8392996019990496e-16 0
3748.0 2.6962421914265756e-18 3.9384378475848586e-16 0
3749.0 1.9809959807135243e-18 3.950992386752894e-16 0
3750.0 4.553361092395671e-18 3.8930649785445527e-16 0
3751.0 8.366905350510123e-18 3.808528365444022e-16 0
3752.0 9.873960740722045e-18 3.7912640856540257e-16 0
3753.0 1.064181606833903e-17 3.7955597247893153e-16 0
3754.0 1.2441514873885545e-17 3.793746047755022e-16 0
3755.0 1.4517725889744406e-17 3.790295203307569e-16 0
3756.0 1.548062978749659e-17 3.847939428037098e-16 0
3757.0 1.6199177553129505e-17 3.918993209350649e-16 0
3758.0 1.2599759313499841e-17 3.9240399916985894e-16 0
3759.0 8.246566607277554e-18 3.917564128806608e-16 0
3760.0 6.948911876725235e-18 2.8059209799929325e-16 0
3761.0 6.0571517035338814e-18 1.5474685328164551e-16 0
3762.0 7.134559982207783e-18 2.707005985700849e-16 0
3763.0 8.397019119962467e-18 4.093771895262516e-16 0
3764.0 9.893034008664454e-18 4.222114753530107e-16 0
3765.0 1.1402522145357044e-17 4.277862328751117e-16 0
3766.0 1.1596496222389334e-17 3.9370405706663377e-16 0
3767.0 1.1744932144415035e-17 3.59219495499459e-16 0
3768.0 1.0157022256695863e-17 3.900551604458861e-16 0
3769.0 8.590603732214993e-18 4.2008356207024176e-16 0
3770.0 7.546226845608317e-18 4.305029206489309e-16 0
3771.0 6.743104015229249e-18 4.390268194860679e-16 0
3772.0 9.1014375734797e-18 4.22712117045278e-16 0
3773.0 1.1410405035668429e-17 4.0891699020605436e-16 0
3774.0 1.328599243960268e-17 4.1724096753132e-16 0
3775.0 1.488207994307299e-17 4.189026833171806e-16 0
3776.0 1.4665937447354564e-17 3.773674240625831e-16 0
3777.0 1.468344487320848e-17 3.455314813841884e-16 0
3778.0 1.5883518383833417e-17 3.627864296904214e-16 0
3779.0 1.6501423190423143e-17 3.7792109397683245e-16 0
3780.0 1.4736426006253267e-17 3.843771244294604e-16 0
3781.0 1.2913851863637591e-17 3.923448424266746e-16 0
3782.0 1.0895994439145062e-17 4.0543973825418454e-16 0
3783.0 9.960258155155968e-18 4.126946499988887e-16 0
3784.0 1.2119456584880293e-17 4.0324683892551664e-16 0
3785.0 1.3795623646446304e-17 3.939499894779448e-16 0
3786.0 1.429162581162963e-17 3.850219765557305e-16 0
3787.0 1.226769929508157e-17 3.8714497194204007e-16 0
3788.0 4.93258235826992e-18 4.1255990010723993e-16 0
3789.0 7.946967150314755e-19 4.308113335174372e-16 0
3790.0 2.513188463676289e-18 4.3594137379777237e-16 0
3791.0 3.353256126644345e-18 4.377664698656057e-16 0
3792.0 2.787188621361496e-18 4.343011847131589e-16 0
3793.0 3.9638638817569325e-18 4.295459098669382e-16 0
3794.0 7.588439132363067e-18 4.2297868329671644e-16 0
3795.0 8.431614280973006e-18 4.3240265366309963e-16 0
3796.0 5.836958089694019e-18 4.615918631087297e-16 0
3797.0 5.374119503085943e-18 4.601879850874394e-16 0
3798.0 7.23387078823201e-18 4.254533029013499e-16 0
3799.0 8.765951618067715e-18 4.030829617811778e-16 0
3800.0 9.983144473535164e-18 3.9259462665070435e-16 0
3801.0 9.30444967967184e-18 3.979844407940337e-16 0
3802.0 7.019216518036854e-18 4.168290902102097e-16 0
3803.0 7.930382635483735e-18 4.1300003544961877e-16 0
3804.0 1.1226747506812627e-17 3.9225153908414544e-16 0
3805.0 1.3904708110757814e-17 3.89395019469153e-16 0
3806.0 1.617727204121956e-17 3.982676360183964e-16 0
3807.0 1.5103343909078732e-17 4.0536541723803764e-16 0
3808.0 1.2109061963939163e-17 4.1144472546300635e-16 0
3809.0 1.1417302204356848e-17 3.9759272750146064e-16 0
3810.0 1.187637863643008e-17 3.7377875451518454e-16 0
3811.0 1.2125435014302822e-17 3.397655667811817e-16 0
3812.0 1.2283670148540411e-17 3.013418222981255e-16 0
3813.0 1.366580346943962e-17 3.4996274605405797e-16 0
3814.0 1.5501830619188674e-17 4.3086498060735846e-16 0
3815.0 1.5841618307320876e-17 4.472564737098259e-16 0
3816.0 1.5711056989199373e-17 4.433687508762956e-16 0
3817.0 1.3404864560185106e-17 3.7777987126414573e-16 0
3818.0 1.0527954520639578e-17 2.9600537241378835e-16 0
3819.0 1.0419076808670754e-17 3.4559649466975026e-16 0
3820.0 1.090326144510826e-17 4.2333324332501605e-16 0
3821.0 9.216624018599285e-18 4.465473993032974e-16 0
3822.0 7.16157194656522e-18 4.605084147330918e-16 0
3823.0 5.628331247540338e-18 4.628238026984638e-16 0
3824.0 4.162050517015342e-18 4.636447984590776e-16 0
3825.0 1.9870283346972713e-18 4.768629476039871e-16 0
3826.0 -2.5161142304172533e-19 4.911938817263168e-16 0
3827.0 3.521552090870772e-18 4.1499227622453217e-16 0
3828.0 7.617844340650985e-18 3.339246324041654e-16 0
3829.0 6.320302679479609e-18 3.794813744356322e-16 0
3830.0 4.900172298772634e-18 4.2715141152979337e-16 0
3831.0 2.2573050283488e-18 4.390177045465258e-16 0
3832.0 6.327828235968553e-22 4.497882164143808e-16 0
3833.0 6.3236501477702924e-18 4.362149083667889e-16 0
3834.0 1.205261085240545e-17 4.235929500347015e-16 0
3835.0 1.039467102465076e-17 4.2280071467258033e-16 0
3836.0 8.642689494588732e-18 4.2268184859978285e-16 0
3837.0 6.095842087514905e-18 4.28254481697873e-16 0
3838.0 4.35770249189407e-18 4.324574815263494e-16 0
