wavelength flux error flag
3691.0 1.0029133767950686e-17 3.2209724482765184e-16 0
3692.0 7.712101054563833e-18 3.364113717979873e-16 0
3693.0 6.543825359273689e-18 3.3608428992071395e-16 0
3694.0 5.633749592196843e-18 3.3246638238243884e-16 0
3695.0 7.215277302275029e-18 2.939701778549943e-16 0
3696.0 9.243954330863836e-18 2.4921462794112975e-16 0
3697.0 8.670634094270956e-18 2.7007657009300835e-16 0
3698.0 7.739819982348232e-18 2.999538374498386e-16 0
3699.0 1.1615686379894222e-17 3.032997241766934e-16 0
3700.0 1.5963662986495104e-17 3.040397094646949e-16 0
3701.0 1.6130000214261302e-17 2.960285276498435e-16 0
3702.0 1.603851636488396e-17 2.874777882298718e-16 0
3703.0 8.260374031816933e-18 3.0731190840360527e-16 0
3704.0 3.115367893831835e-19 3.277483630515396e-16 0
3705.0 9.935694941603483e-19 3.1031493623685354e-16 0
3706.0 1.87126171561537e-18 2.934436891382839e-16 0
3707.0 7.987312265648071e-18 2.916235821430826e-16 0
3708.0 1.3347247557823005e-17 2.8016089440880746e-16 0
3709.0 8.239449862437002e-18 1.352053834062975e-16 0
3710.0 3.750034340978126e-18 2.0172265226473574e-17 0
3711.0 4.905776046966707e-18 1.7829807566320033e-16 0
3712.0 5.062227473733911e-18 3.0395000408095006e-16 0
3713.0 -1.4636967809984486e-18 2.1244513231789385e-16 0
3714.0 -5.090923661643593e-18 1.4369466303818743e-16 0
3715.0 6.3375090111565615e-18 1.93129189610027e-16 0
3716.0 1.5646312828614848e-17 2.3604428460201795e-16 0
3717.0 1.6081307973310768e-17 2.5166583320311943e-16 0
3718.0 1.7207466351732482e-17 2.6039194844483534e-16 0
3719.0 2.0725685629385087e-17 2.4525351806637373e-16 0
3720.0 2.3447069536355654e-17 2.4084481777319644e-16 0
3721.0 2.384691840515896e-17 2.676965826395214e-16 0
3722.0 2.4660056393785408e-17 2.8591481983086705e-16 0
3723.0 2.6500489958608546e-17 2.826730563542218e-16 0
3724.0 2.9374296788565965e-17 2.789573178598349e-16 0
3725.0 3.4461776317906155e-17 2.7422623903067775e-16 0
3726.0 3.847570499171553e-17 2.7491251345921725e-16 0
3727.0 4.0492480875977234e-17 2.856768220254358e-16 0
3728.0 3.9944243883444e-17 2.869059595236395e-16 0
3729.0 3.522819232888598e-17 2.726416758432614e-16 0
3730.0 2.87128836358766e-17 2.684750026917786e-16 0
3731.0 1.9633214739070788e-17 2.7869977478753946e-16 0
3732.0 1.2654801349943165e-17 2.7761680281765067e-16 0
3733.0 8.310975269527258e-18 2.6235600292694953e-16 0
3734.0 6.691900676419401e-18 2.4301101481807136e-16 0
3735.0 8.083760598450388e-18 2.1915287263634898e-16 0
3736.0 9.904049069327484e-18 2.2584488004453233e-16 0
3737.0 1.2141915474854759e-17 2.6231330735602407e-16 0
3738.0 1.206916237351163e-17 2.9723269116061354e-16 0
3739.0 1.0010386256773973e-17 3.308206415347278e-16 0
3740.0 1.0321425746848435e-17 3.3627102793121494e-16 0
3741.0 1.242654926592487e-17 3.2041969194804856e-16 0
3742.0 1.327792482971943e-17 3.030073300906198e-16 0
3743.0 1.3295187875711494e-17 2.845564251856428e-16 0
3744.0 1.118296609675342e-17 2.877271287793659e-16 0
3745.0 7.830015536358584e-18 3.034955046602925e-16 0
3746.0 7.097701646102869e-18 3.1672274141351035e-16 0
3747.0 7.696164621720478e-18 3.286595706857321e-16 0
3748.0 4.067532836817789e-18 3.2762111963827097e-16 0
3749.0 -1.4198728742248821e-18 3.2087706838334843e-16 0
3750.0 -1.726671648188858e-19 3.3508810650527577e-16 0
3751.0 3.617071233121553e-18 3.572103656918703e-16 0
3752.0 5.363406480049372e-18 3.64997482888619e-16 0
3753.0 6.454857258140007e-18 3.681903711672643e-16 0
3754.0 9.466497891345039e-18 3.650842790876727e-16 0
3755.0 1.2992708759681494e-17 3.6029019360711964e-16 0
3756.0 1.4701248559225374e-17 3.642390646399518e-16 0
