wavelength flux error flag
3691.0 7.167095908718447e-18 1.0159300613024874e-21 0
3692.0 2.6970687055871375e-18 1.0159300613024874e-21 0
3693.0 3.524653663980335e-18 1.0159300613024874e-21 0
3694.0 5.542954377106245e-18 1.0159300613024874e-21 0
3695.0 1.402106435145189e-17 1.0159300613024874e-21 0
3696.0 2.3658467662537117e-17 1.0159300613024874e-21 0
3697.0 8.051730577827528e-18 1.0159300613024874e-21 0
3698.0 -1.1023352035228804e-17 1.0159300613024874e-21 0
3699.0 -4.8065373630075885e-18 1.0159300613024874e-21 0
3700.0 3.894437196941845e-18 1.0159300613024874e-21 0
3701.0 1.1488252591156193e-17 1.0159300613024874e-21 0
3702.0 1.9013805530668215e-17 1.0159300613024874e-21 0
3703.0 7.906184740356406e-18 1.0159300613024874e-21 0
3704.0 -3.648973674872094e-18 1.0159300613024874e-21 0
3705.0 -1.5142500562328205e-18 1.0159300613024874e-21 0
3706.0 9.36507991186644e-19 1.0159300613024874e-21 0
3707.0 1.1848401025685194e-17 1.0159300613024874e-21 0
3708.0 2.1747523030272687e-17 1.0159300613024874e-21 0
3709.0 1.7625744638428425e-17 1.0159300613024874e-21 0
3710.0 1.3198686093679403e-17 1.0159300613024874e-21 0
3711.0 5.984751512995928e-18 1.0159300613024874e-21 0
3712.0 9.423263872237932e-21 1.0159300613024874e-21 0
3713.0 2.3168062559863082e-18 1.0159300613024874e-21 0
3714.0 4.577046224084464e-18 1.0159300613024874e-21 0
3715.0 6.5924281651776435e-18 1.0159300613024874e-21 0
3716.0 8.450696078785802e-18 1.0159300613024874e-21 0
3717.0 9.65120741571991e-18 1.0159300613024874e-21 0
3718.0 9.222937182983348e-18 1.0159300613024874e-21 0
3719.0 3.157583673703665e-18 1.0159300613024874e-21 0
3720.0 4.432968644972037e-20 1.0159300613024874e-21 0
3721.0 5.5318516294529e-18 1.0159300613024874e-21 0
3722.0 7.988705171938704e-18 1.0159300613024874e-21 0
3723.0 2.912352318613962e-18 1.0159300613024874e-21 0
3724.0 2.602757261347271e-18 1.0159300613024874e-21 0
3725.0 1.2504420762557553e-17 1.0159300613024874e-21 0
3726.0 2.1134471949557484e-17 1.0159300613024874e-21 0
3727.0 2.739891179410016e-17 1.0159300613024874e-21 0
3728.0 2.874851219946455e-17 1.0159300613024874e-21 0
3729.0 2.2112133442721703e-17 1.0159300613024874e-21 0
3730.0 1.3683774735730068e-17 1.0159300613024874e-21 0
3731.0 2.7014275119140197e-18 1.0159300613024874e-21 0
3732.0 3.500340919256709e-19 1.0159300613024874e-21 0
3733.0 8.820266728621549e-18 1.0159300613024874e-21 0
3734.0 1.249438385435837e-17 1.0159300613024874e-21 0
3735.0 1.0868645269288205e-17 1.0159300613024874e-21 0
3736.0 9.445234847709505e-18 1.0159300613024874e-21 0
3737.0 8.219028316627555e-18 1.0159300613024874e-21 0
3738.0 7.88745849330084e-18 1.0159300613024874e-21 0
3739.0 8.324846556262038e-18 1.0159300613024874e-21 0
3740.0 8.594176144911822e-18 1.0159300613024874e-21 0
3741.0 8.736275993056125e-18 1.0159300613024874e-21 0
3742.0 1.0786409643576164e-17 1.0159300613024874e-21 0
3743.0 1.410594905643229e-17 1.0159300613024874e-21 0
3744.0 1.3000880819015365e-17 1.0159300613024874e-21 0
3745.0 9.317847247477034e-18 1.0159300613024874e-21 0
3746.0 6.163407988457168e-18 1.0159300613024874e-21 0
3747.0 3.2773924642293694e-18 1.0159300613024874e-21 0
3748.0 3.689374848294657e-18 1.0159300613024874e-21 0
3749.0 5.551580817989908e-18 1.0159300613024874e-21 0
3750.0 5.6078023068123006e-18 1.0159300613024874e-21 0
3751.0 4.982206495283422e-18 1.0159300613024874e-21 0
3752.0 7.31073995520887e-18 1.0159300613024874e-21 0
3753.0 1.0586033910171252e-17 1.0159300613024874e-21 0
3754.0 1.1269854223084651e-17 1.0159300613024874e-21 0
3755.0 1.1259214455514709e-17 1.0159300613024874e-21 0
3756.0 1.1627510836124649e-17 1.0159300613024874e-21 0
3757.0 1.2078978670490205e-17 1.0159300613024874e-21 0
3758.0 7.329102164949608e-18 1.0159300613024874e-21 0
3759.0 1.671242467647202e-18 1.0159300613024874e-21 0
3760.0 -3.3927425851969135e-18 1.0159300613024874e-21 0
3761.0 -8.377837934211561e-18 1.0159300613024874e-21 0
3762.0 -4.942319987373641e-18 1.0159300613024874e-21 0
3763.0 -7.154823731357303e-19 1.0159300613024874e-21 0
3764.0 4.234976228417406e-19 1.0159300613024874e-21 0
3765.0 1.3843468244296407e-18 1.0159300613024874e-21 0
3766.0 -7.232739914727932e-19 1.0159300613024874e-21 0
3767.0 -2.920852092484222e-18 1.0159300613024874e-21 0
3768.0 -7.196715932738699e-18 1.0159300613024874e-21 0
3769.0 -1.1343018622888927e-17 1.0159300613024874e-21 0
3770.0 -1.234218195964775e-17 1.0159300613024874e-21 0
3771.0 -1.3509044434588469e-17 1.0159300613024874e-21 0
3772.0 -1.6873480372387953e-17 1.0159300613024874e-21 0
3773.0 -1.867830894441759e-17 1.0159300613024874e-21 0
3774.0 -6.7914992271564575e-18 1.0159300613024874e-21 0
3775.0 4.578272196493221e-18 1.0159300613024874e-21 0
3776.0 1.2595654925704267e-17 1.0159300613024874e-21 0
3777.0 1.806301730140463e-17 1.0159300613024874e-21 0
3778.0 1.0624030018417642e-17 1.0159300613024874e-21 0
3779.0 4.234418371043899e-18 1.0159300613024874e-21 0
3780.0 2.140055289636003e-18 1.0159300613024874e-21 0
3781.0 -2.089503343701779e-19 1.0159300613024874e-21 0
3782.0 -3.4216249114849744e-18 1.0159300613024874e-21 0
3783.0 -5.156854678570287e-18 1.0159300613024874e-21 0
3784.0 -2.666499103122984e-18 1.0159300613024874e-21 0
3785.0 -2.0144614134791436e-18 1.0159300613024874e-21 0
3786.0 -5.853888212962659e-18 1.0159300613024874e-21 0
3787.0 -9.787092510200988e-18 1.0159300613024874e-21 0
3788.0 -1.3917949285194928e-17 1.0159300613024874e-21 0
3789.0 -1.2206710688229965e-17 1.0159300613024874e-21 0
3790.0 2.0551013868469835e-19 1.0159300613024874e-21 0
3791.0 4.913656800691158e-18 1.0159300613024874e-21 0
3792.0 -2.7104740769655654e-18 1.0159300613024874e-21 0
3793.0 -6.606098415912955e-18 1.0159300613024874e-21 0
3794.0 -5.26456940133326e-18 1.0159300613024874e-21 0
3795.0 -3.808739756796633e-18 1.0159300613024874e-21 0
3796.0 -2.2116336782967726e-18 1.0159300613024874e-21 0
3797.0 -1.2686467890851503e-18 1.0159300613024874e-21 0
3798.0 -1.0383149603403068e-18 1.0159300613024874e-21 0
3799.0 -6.694891649273468e-18 1.0159300613024874e-21 0
3800.0 -1.8008727539885578e-17 1.0159300613024874e-21 0
3801.0 -2.2451290114278713e-17 1.0159300613024874e-21 0
3802.0 -2.1071269150112454e-17 1.0159300613024874e-21 0
3803.0 -1.5696945944424993e-17 1.0159300613024874e-21 0
3804.0 -7.342017408404366e-18 1.0159300613024874e-21 0
3805.0 -7.323079333620549e-18 1.0159300613024874e-21 0
3806.0 -1.2768823476299945e-17 1.0159300613024874e-21 0
3807.0 -1.0051545084445545e-17 1.0159300613024874e-21 0
3808.0 -2.6499909923835976e-18 1.0159300613024874e-21 0
3809.0 -1.4753300815584937e-18 1.0159300613024874e-21 0
3810.0 -3.412966667578647e-18 1.0159300613024874e-21 0
3811.0 -6.333787533570557e-18 1.0159300613024874e-21 0
3812.0 -9.679777411966985e-18 1.0159300613024874e-21 0
3813.0 -3.2591620240127137e-18 1.0159300613024874e-21 0
3814.0 6.783488192917562e-18 1.0159300613024874e-21 0
3815.0 3.9861105331396385e-18 1.0159300613024874e-21 0
3816.0 -2.847582507301689e-18 1.0159300613024874e-21 0
3817.0 -7.813745474334714e-18 1.0159300613024874e-21 0
3818.0 -1.229001275282268e-17 1.0159300613024874e-21 0
3819.0 -6.818671412862558e-18 1.0159300613024874e-21 0
3820.0 7.839861221828497e-19 1.0159300613024874e-21 0
3821.0 -2.392294868510318e-18 1.0159300613024874e-21 0
3822.0 -7.397891529004009e-18 1.0159300613024874e-21 0
3823.0 -5.24670317814361e-18 1.0159300613024874e-21 0
