wavelength flux error flag
3691.0 5.193919862399492e-18 1.458043926530358e-16 0
3692.0 2.3849538681429183e-19 3.3151208232637557e-16 0
3693.0 -1.6252783631785708e-18 3.557172066414813e-16 0
3694.0 -2.794158429970163e-18 3.4362226912902236e-16 0
3695.0 -1.1098026586811526e-18 3.4933720395931565e-16 0
3696.0 1.0866018684574793e-18 3.5824834250092983e-16 0
3697.0 1.438761316983721e-18 3.5797540071627667e-16 0
3698.0 1.5375360563738057e-18 3.5644063882477244e-16 0
3699.0 2.4718863974906604e-18 3.598986659358591e-16 0
3700.0 3.4883066351265984e-18 3.63847082756671e-16 0
3701.0 5.048029760252826e-18 3.598588984744478e-16 0
3702.0 6.6412504979127724e-18 3.553813790631363e-16 0
3703.0 5.72902032698548e-18 3.182899711807393e-16 0
3704.0 4.751637016695607e-18 2.806943712899963e-16 0
3705.0 4.548878476288975e-18 3.268629186405867e-16 0
3706.0 4.497529103173116e-18 3.7097869675776014e-16 0
3707.0 8.499831123904263e-18 3.6013603997180537e-16 0
3708.0 1.2165298617799606e-17 3.3816380800516933e-16 0
3709.0 1.1167596242727882e-17 1.6211265745351514e-16 0
3710.0 1.0206032582158857e-17 2.082154191403122e-17 0
3711.0 9.574376111620863e-18 1.9685177092288296e-16 0
3712.0 9.016956467581167e-18 3.373385038557886e-16 0
3713.0 8.95596751478214e-18 2.401415539268497e-16 0
3714.0 8.848906600696187e-18 1.7039684489087906e-16 0
3715.0 8.502550694902486e-18 2.432374214243789e-16 0
3716.0 7.582968015743546e-18 3.074072643432099e-16 0
3717.0 4.2635761906916374e-18 3.3527715269445196e-16 0
3718.0 1.3812188459762464e-18 3.564505904372578e-16 0
3719.0 1.1403026933828934e-20 3.5444814601150157e-16 0
3720.0 2.760741794156747e-19 3.5215581473982485e-16 0
3721.0 5.30273119928393e-18 3.4901891444590193e-16 0
3722.0 1.0030875553030712e-17 3.4329136836122376e-16 0
3723.0 1.4017019387924014e-17 3.3112436178101077e-16 0
3724.0 1.4674603897950132e-17 3.2874301265032927e-16 0
3725.0 8.201811462548901e-18 3.473243141633382e-16 0
3726.0 5.100238079281884e-18 3.5912760157105186e-16 0
3727.0 8.270225562888834e-18 3.583215843442954e-16 0
3728.0 9.149955242916088e-18 3.6199737218429594e-16 0
3729.0 6.308311860490088e-18 3.7295551427303087e-16 0
3730.0 5.781161265628692e-18 3.699331444135799e-16 0
3731.0 8.552701596908654e-18 3.4698529102958605e-16 0
3732.0 9.823557227709606e-18 3.1154497737773896e-16 0
3733.0 9.212830703550014e-18 2.6044141993854373e-16 0
3734.0 8.582513754927861e-18 2.326397291549059e-16 0
3735.0 7.93054878245645e-18 2.3058732042770126e-16 0
3736.0 7.524059024282843e-18 2.6318070615514617e-16 0
3737.0 7.356827441761548e-18 3.295424281236098e-16 0
3738.0 7.715353385796188e-18 3.6726283963270386e-16 0
3739.0 8.52577828816311e-18 3.803654801958527e-16 0
3740.0 9.743568411298462e-18 3.785368467476981e-16 0
3741.0 1.1269756974570105e-17 3.654043970197754e-16 0
3742.0 1.0827486858046333e-17 3.5395816980208665e-16 0
3743.0 9.075610597259542e-18 3.4363377835502566e-16 0
3744.0 9.173596598950259e-18 3.216001071304254e-16 0
3745.0 1.0349391338161944e-17 2.9274410955737197e-16 0
3746.0 1.2202763598690149e-17 3.03050951790299e-16 0
3747.0 1.440021426599572e-17 3.3324494656502994e-16 0
3748.0 1.1695779342670212e-17 3.3314160505846547e-16 0
3749.0 6.8358457515871765e-18 3.197156621195558e-16 0
3750.0 7.713831523466281e-18 3.2857155547114175e-16 0
3751.0 1.0758066635316074e-17 3.4583955957304387e-16 0
3752.0 1.4748038600287202e-17 3.532382673159947e-16 0
3753.0 1.904110708167957e-17 3.574739923158556e-16 0
3754.0 1.773864060385143e-17 3.5998348264776646e-16 0
3755.0 1.4936689201663723e-17 3.62030378629117e-16 0
3756.0 1.3109894688304587e-17 3.7448084819072944e-16 0
3757.0 1.149713416582556e-17 3.8921476403499414e-16 0
3758.0 7.925251797690141e-18 3.957990800288223e-16 0
3759.0 4.011371363242991e-18 4.0096074464634974e-16 0
3760.0 3.565565155663617e-18 3.2834775841194713e-16 0
3761.0 3.580454401525898e-18 2.454032666512465e-16 0
3762.0 5.01833548509144e-18 3.1598750050145436e-16 0
3763.0 6.589940964750419e-18 4.0099946019754646e-16 0
3764.0 9.060922441049313e-18 3.987284853992927e-16 0
3765.0 1.1583786672495003e-17 3.914223760902419e-16 0
3766.0 1.3211755499474069e-17 3.549589213918155e-16 0
3767.0 1.4789295899292273e-17 3.183132107289976e-16 0
3768.0 1.2827214269228967e-17 3.434672246666392e-16 0
3769.0 1.0830785289705677e-17 3.6873117811368957e-16 0
3770.0 8.000032941771275e-18 3.9666564626576064e-16 0
3771.0 5.284781589480809e-18 4.23639180739195e-16 0
3772.0 4.083085558420231e-18 4.380203884145698e-16 0
3773.0 3.5763974299053985e-18 4.492428809277992e-16 0
3774.0 9.171114705537167e-18 4.327353265021668e-16 0
3775.0 1.3741266618033672e-17 4.162824113794006e-16 0
3776.0 1.1668310307158969e-17 4.001837682389305e-16 0
3777.0 9.76460923726336e-18 3.900812251655956e-16 0
3778.0 8.717555181433405e-18 4.1032658262896996e-16 0
3779.0 8.844362531882184e-18 4.2089839323346107e-16 0
3780.0 1.3775956987012378e-17 3.9187495608938047e-16 0
3781.0 1.7293906093795362e-17 3.7235592682606054e-16 0
3782.0 1.6017206256155975e-17 3.850729172024108e-16 0
3783.0 1.426329657959604e-17 3.963065552234509e-16 0
3784.0 1.1144536664999274e-17 4.032977119498533e-16 0
3785.0 8.268474720391583e-18 4.1010152849679554e-16 0
3786.0 5.985383840368187e-18 4.1644762672965827e-16 0
3787.0 5.141763307684517e-18 4.103802647009698e-16 0
3788.0 7.332078288521543e-18 3.781493641160337e-16 0
3789.0 9.843014071982262e-18 3.6244664234580907e-16 0
3790.0 1.2941231865232892e-17 3.7701863136490066e-16 0
3791.0 1.292923926021401e-17 3.902025832097224e-16 0
3792.0 7.938585103244323e-18 4.0116463800344413e-16 0
3793.0 5.927095620678095e-18 4.06782395461619e-16 0
3794.0 8.100215204309834e-18 4.0489341948040615e-16 0
3795.0 9.548766590021115e-18 4.071498249691652e-16 0
3796.0 1.0101746261001363e-17 4.145299529756002e-16 0
3797.0 9.569664649331208e-18 4.131377191428424e-16 0
3798.0 7.855421702753873e-18 4.021881016415989e-16 0
