wavelength flux error flag
3691.0 2.970405846042437e-18 3.7280766400610893e-16 0
3692.0 2.6667346439896593e-18 3.7540221767376076e-16 0
3693.0 2.7337357986931838e-18 3.6486751433622986e-16 0
3694.0 2.8840509827322608e-18 3.513818186105534e-16 0
3695.0 2.4701877320227324e-18 3.4578446974129144e-16 0
3696.0 1.9550756249324617e-18 3.4160278309652134e-16 0
3697.0 -1.521112442570029e-20 3.5165883609725384e-16 0
3698.0 -2.1854273775951377e-18 3.636710420847393e-16 0
3699.0 -3.805837313955663e-18 3.583276679887678e-16 0
3700.0 -5.372245496994529e-18 3.5127963586001697e-16 0
3701.0 -4.585052626154378e-18 3.499220660342995e-16 0
3702.0 -3.652747299670967e-18 3.4891534452128884e-16 0
3703.0 1.9279536488385898e-18 3.413507551014048e-16 0
3704.0 7.60577282085912e-18 3.336359782939976e-16 0
3705.0 6.755826110667384e-18 3.3230787714341457e-16 0
3706.0 5.813858609069199e-18 3.313990810144079e-16 0
3707.0 2.4082344080633014e-18 3.4171626555469375e-16 0
3708.0 -8.134338527980593e-19 3.394982171477164e-16 0
3709.0 -1.4883982310206872e-18 1.6374118765921778e-16 0
3710.0 -1.885212515087592e-18 2.2643681417400175e-17 0
3711.0 2.5718128371531225e-19 1.9794995653513535e-16 0
3712.0 1.791149289283976e-18 3.426099778212917e-16 0
3713.0 -7.435000120959451e-19 2.823347709845719e-16 0
3714.0 -3.0943110416300833e-18 2.4099494079575737e-16 0
3715.0 -4.490277160982659e-18 2.980043163141762e-16 0
3716.0 -4.73853215220857e-18 3.459826711531844e-16 0
3717.0 -1.8190399753409028e-19 3.5615273260777135e-16 0
3718.0 2.787801010495258e-18 3.6309468119319915e-16 0
3719.0 2.652914099560624e-19 3.588643882648618e-16 0
3720.0 -3.3040813854715924e-19 3.566784378573808e-16 0
3721.0 4.687545035049139e-18 3.6044856440983795e-16 0
3722.0 7.595800208711069e-18 3.649447655058927e-16 0
3723.0 5.260066807568447e-18 3.7124573989708284e-16 0
3724.0 3.871504778599257e-18 3.762216168132674e-16 0
3725.0 4.511955381328828e-18 3.78358894935182e-16 0
3726.0 6.056011510759539e-18 3.7896194574674603e-16 0
3727.0 9.281066997607352e-18 3.767108361458049e-16 0
3728.0 8.334328187688522e-18 3.7696167588379475e-16 0
3729.0 6.089625813373936e-19 3.8127786008168235e-16 0
3730.0 -4.446486168368318e-18 3.836270546947527e-16 0
3731.0 -5.696681967670418e-18 3.831728313278177e-16 0
3732.0 -3.45890518019005e-18 3.79702630467043e-16 0
3733.0 3.152146669124837e-18 3.7245094943900856e-16 0
3734.0 6.060572365763976e-18 3.622404993281033e-16 0
3735.0 4.877481851961e-18 3.4876051803410185e-16 0
3736.0 4.395828554216872e-19 3.490797693581949e-16 0
3737.0 -7.170691575862801e-18 3.6284876643788896e-16 0
3738.0 -1.0831093628940807e-17 3.6929364315298934e-16 0
3739.0 -1.1096502509121142e-17 3.694432940343459e-16 0
3740.0 -9.253591657812063e-18 3.689183081606862e-16 0
3741.0 -5.8145638987478205e-18 3.6788258422619456e-16 0
3742.0 -1.8045680795626896e-18 3.6453711719503414e-16 0
3743.0 2.5852900590031887e-18 3.5965498912947456e-16 0
3744.0 5.1650345842976085e-18 3.567932755816381e-16 0
3745.0 6.690129632242981e-18 3.5510874179728295e-16 0
3746.0 7.201504359196539e-18 3.5435036068015845e-16 0
