wavelength flux error flag
3691.0 -2.1506335360591287e-18 4.3467250372770444e-16 0
3692.0 -3.975579888065443e-18 4.247544285415341e-16 0
3693.0 -2.551381936226413e-18 4.095052144304853e-16 0
3694.0 -3.9689131779939373e-19 3.930577489346664e-16 0
3695.0 2.3128187215507775e-18 3.7907458244053924e-16 0
3696.0 5.122169810516566e-18 3.6553366513626746e-16 0
3697.0 5.771679996645049e-18 3.7033447553021543e-16 0
3698.0 6.1244450997623444e-18 3.7765529445869323e-16 0
3699.0 8.38211641464096e-18 3.7778806973998496e-16 0
3700.0 1.0826886844614287e-17 3.772148382912093e-16 0
3701.0 1.0814269349679772e-17 3.749440972469363e-16 0
3702.0 1.065014036741661e-17 3.7256869539556754e-16 0
3703.0 6.478702417492661e-18 3.692871955229741e-16 0
3704.0 2.2165638777441e-18 3.6599784294689397e-16 0
3705.0 2.0872703441064895e-18 3.663543293635521e-16 0
3706.0 2.210982639739783e-18 3.6686344380343993e-16 0
3707.0 9.108376151820307e-18 3.7145884185597813e-16 0
3708.0 1.5321737505966158e-17 3.634127540925115e-16 0
3709.0 1.2065291301338737e-17 1.8035671022408537e-16 0
3710.0 9.282847512825329e-18 3.2960265234387953e-17 0
3711.0 1.0827530666151765e-17 2.1109720530286717e-16 0
3712.0 1.1899305610616765e-17 3.6491058418507857e-16 0
3713.0 9.808685823353257e-18 3.560693499500388e-16 0
3714.0 6.777669330753911e-18 3.527317457782951e-16 0
3715.0 -1.1377110030954614e-18 3.7797966463555883e-16 0
3716.0 -7.499840993924829e-18 3.974260843356918e-16 0
3717.0 -7.359301269664389e-18 3.9258457579507296e-16 0
3718.0 -5.766703884783068e-18 3.895900950942846e-16 0
3719.0 8.513494038738112e-19 3.929880306272602e-16 0
3720.0 7.078658493891242e-18 3.9413285893346857e-16 0
3721.0 1.2167556336770344e-17 3.8871338605007133e-16 0
3722.0 1.640781577748343e-17 3.8420580449978453e-16 0
3723.0 1.853865003732351e-17 3.8196487331009113e-16 0
3724.0 1.9757854498941907e-17 3.8190872454091264e-16 0
3725.0 1.902418281758699e-17 3.8653277542617055e-16 0
3726.0 1.8714694352637937e-17 3.9312894427813807e-16 0
3727.0 1.9194324250885008e-17 4.033938921900259e-16 0
3728.0 1.8754964281288393e-17 4.0895158144660823e-16 0
3729.0 1.6822364496717393e-17 4.068605834984253e-16 0
3730.0 1.3649490812853168e-17 4.0739613952508506e-16 0
3731.0 8.708938145710055e-18 4.116751463027624e-16 0
3732.0 6.328206316909203e-18 4.134690505762041e-16 0
3733.0 7.157018243557803e-18 4.121470941203899e-16 0
3734.0 7.234385441273736e-18 4.080641615073255e-16 0
3735.0 6.481383014052667e-18 4.009302650004666e-16 0
3736.0 5.432660062247201e-18 4.022057668692024e-16 0
3737.0 4.095706164529734e-18 4.1167768612139495e-16 0
