wavelength flux error flag
3691.0 7.597241388760732e-18 1.639822039076336e-16 0
3692.0 2.610845638882882e-18 3.728427135449671e-16 0
3693.0 1.069771558738199e-18 4.0167990370234207e-16 0
3694.0 3.0308387517954494e-19 3.9005422187356164e-16 0
3695.0 3.2459691200309125e-18 3.8543989472285224e-16 0
3696.0 6.854583491572203e-18 3.8208384261264627e-16 0
3697.0 7.60998341814938e-18 3.860673565792637e-16 0
3698.0 7.973374212846821e-18 3.9105926896164953e-16 0
3699.0 5.9371723196593295e-18 3.925190550155554e-16 0
3700.0 3.665283406439554e-18 3.936319170548399e-16 0
3701.0 6.205167407243502e-18 4.0298261396592466e-16 0
3702.0 9.041723684940307e-18 4.128412187254786e-16 0
3703.0 7.655127753646824e-18 4.068839577066522e-16 0
3704.0 6.1571403205141626e-18 4.0055261319650116e-16 0
3705.0 5.6284287063878906e-18 4.070810891970835e-16 0
3706.0 5.180995116272942e-18 4.1325703073035353e-16 0
3707.0 6.9096039760177335e-18 4.0999462807105935e-16 0
3708.0 8.292194918850295e-18 3.9393232920407825e-16 0
3709.0 4.884480249531591e-18 2.0066702540082435e-16 0
3710.0 1.7294810406028477e-18 4.564833401199867e-17 0
3711.0 8.814993490907894e-19 2.397796498517676e-16 0
3712.0 2.6080751882740146e-19 4.051563120906568e-16 0
3713.0 1.1600306452500395e-18 3.782471071016764e-16 0
3714.0 1.8320144116542368e-18 3.599819028180333e-16 0
3715.0 1.323730630240418e-18 3.8661311751302934e-16 0
3716.0 1.3738621034704685e-18 4.060519938807811e-16 0
3717.0 3.761794421963289e-18 3.953802053248628e-16 0
3718.0 5.363410359381779e-18 3.874479538470531e-16 0
3719.0 4.2436479337566265e-18 3.8899702198633485e-16 0
3720.0 3.899786150322014e-18 3.906189389136655e-16 0
3721.0 5.816467250971534e-18 3.92453096687934e-16 0
3722.0 8.087777185623179e-18 3.9465538162737615e-16 0
3723.0 1.124057326372344e-17 3.977727049506562e-16 0
3724.0 1.3738096553032811e-17 3.9875876033517893e-16 0
3725.0 1.4831906845174285e-17 3.9517925377777937e-16 0
3726.0 1.6148906965345186e-17 3.9384886735242235e-16 0
3727.0 1.788111255561674e-17 3.9670257385810342e-16 0
3728.0 1.8397161925625408e-17 4.0442056716433985e-16 0
3729.0 1.6937114547596606e-17 4.2004239812559483e-16 0
3730.0 1.6263137420017433e-17 4.263208539199641e-16 0
3731.0 1.6709493359103946e-17 4.192828254080803e-16 0
3732.0 1.5701414796295027e-17 4.188387263747643e-16 0
3733.0 1.2869743307235943e-17 4.266622001593637e-16 0
3734.0 1.0713488054940087e-17 4.34943965122041e-16 0
3735.0 9.303588596494902e-18 4.4373215598538703e-16 0
3736.0 7.917224850562729e-18 4.506631481864064e-16 0
3737.0 6.553800738901364e-18 4.557839781474488e-16 0
3738.0 6.0236678805539805e-18 4.508450637507435e-16 0
3739.0 6.209765281099388e-18 4.3725960077082627e-16 0
3740.0 9.646736141691767e-18 4.323491430607504e-16 0
3741.0 1.5544801501877864e-17 4.340061534529994e-16 0
3742.0 1.5879274823057352e-17 4.337094794645541e-16 0
3743.0 1.2512316972101132e-17 4.321130286023703e-16 0
3744.0 9.75413096158301e-18 4.32883898828152e-16 0
3745.0 7.350641417980288e-18 4.350340713970766e-16 0
3746.0 7.664477169942242e-18 4.3199653524250043e-16 0
3747.0 9.358188919822633e-18 4.263246458275932e-16 0
3748.0 6.6056290271154275e-18 4.335419772240748e-16 0
3749.0 1.897916892502922e-18 4.464270660118104e-16 0
3750.0 2.4593934851304094e-18 4.467541932160611e-16 0
