wavelength flux error flag
3691.0 8.756846772062675e-18 3.322044531065941e-16 0
3692.0 1.1692651593268751e-17 3.267376781746243e-16 0
3693.0 1.0870979901764567e-17 3.1720001876839634e-16 0
3694.0 9.204760450759107e-18 3.0674736858303945e-16 0
3695.0 3.3696522194386053e-18 3.017836315259602e-16 0
3696.0 -3.2136150966464356e-18 2.9780494838583713e-16 0
3697.0 1.0552319981083857e-19 2.9628091260701015e-16 0
3698.0 4.785173824580868e-18 2.950941259903943e-16 0
3699.0 9.538676576583535e-18 2.9566014927455087e-16 0
3700.0 1.4299433054553276e-17 2.963983328358586e-16 0
3701.0 1.4207629426894992e-17 2.9395368432250116e-16 0
3702.0 1.3816638767550242e-17 2.913127966982317e-16 0
3703.0 1.086767626505607e-17 2.8584234027387564e-16 0
3704.0 7.841851617563167e-18 2.803426368257046e-16 0
3705.0 3.3909641890345012e-18 2.852159982807829e-16 0
3706.0 -7.6516317306020595e-19 2.900012413691996e-16 0
3707.0 2.9702696360717074e-18 2.9242730669953973e-16 0
3708.0 7.091179879673466e-18 2.8504307025180606e-16 0
3709.0 1.6548677124829158e-17 1.4184406419974209e-16 0
3710.0 2.5147783400466387e-17 2.6301939069416584e-17 0
3711.0 2.591071297201284e-17 1.632370809218937e-16 0
3712.0 2.5545202867983846e-17 2.8226251467251787e-16 0
3713.0 1.763367935533835e-17 2.8152355125935756e-16 0
3714.0 1.0354162018670831e-17 2.820364066861686e-16 0
3715.0 6.357246690153832e-18 2.890511337625277e-16 0
3716.0 3.665383761712633e-18 2.9470400785461783e-16 0
3717.0 6.4371119129154905e-18 2.946554956911017e-16 0
3718.0 9.767623560892408e-18 2.9417412363018805e-16 0
3719.0 1.5032040382851756e-17 2.9219465794263835e-16 0
3720.0 1.8191700403760777e-17 2.931494182994374e-16 0
3721.0 1.5219269857107695e-17 3.0265288121449265e-16 0
3722.0 1.1962856313582694e-17 3.1010670829386877e-16 0
3723.0 8.000558045759992e-18 3.1246584082210714e-16 0
3724.0 5.71027067912297e-18 3.1344648976671947e-16 0
3725.0 7.00173349889528e-18 3.114741772030585e-16 0
3726.0 9.025831455282282e-18 3.1389660809091544e-16 0
3727.0 1.2412868390547197e-17 3.2449468720105033e-16 0
3728.0 1.3159481129347261e-17 3.2979855381397526e-16 0
3729.0 9.615745653716648e-18 3.2650000905503346e-16 0
3730.0 6.4745162640504615e-18 3.251220220824569e-16 0
3731.0 3.9069517311603585e-18 3.264812769699767e-16 0
3732.0 5.596674693511151e-18 3.2430200160775547e-16 0
3733.0 1.2624251888016808e-17 3.1768606118819365e-16 0
3734.0 1.518148135168498e-17 3.138470590947487e-16 0
3735.0 1.279883855905829e-17 3.130766595844984e-16 0
3736.0 8.07491901164052e-18 3.1622232210206544e-16 0
3737.0 1.069019156553506e-18 3.2318486633291285e-16 0
3738.0 1.6562069465413225e-18 3.2090155216079683e-16 0
3739.0 8.769803249998102e-18 3.106712404277387e-16 0
3740.0 1.0129585338704445e-17 3.1006249157313054e-16 0
3741.0 7.13340565601602e-18 3.1673780829925597e-16 0
3742.0 7.382308486702294e-18 3.1429860645961134e-16 0
3743.0 9.790149191866921e-18 3.057955590141384e-16 0
3744.0 1.476007278190786e-17 2.979892982183116e-16 0
3745.0 2.122277525369876e-17 2.905890150752051e-16 0
