wavelength flux error flag
3691.0 0.0 1.0159300613024874e-21 0
3692.0 0.0 1.0159300613024874e-21 0
3693.0 0.0 1.0159300613024874e-21 0
3694.0 0.0 1.0159300613024874e-21 0
3695.0 0.0 1.0159300613024874e-21 0
3696.0 0.0 1.0159300613024874e-21 0
3697.0 0.0 1.0159300613024874e-21 0
3698.0 0.0 1.0159300613024874e-21 0
3699.0 0.0 1.0159300613024874e-21 0
3700.0 0.0 1.0159300613024874e-21 0
3701.0 0.0 1.0159300613024874e-21 0
3702.0 0.0 1.0159300613024874e-21 0
3703.0 0.0 1.0159300613024874e-21 0
3704.0 0.0 1.0159300613024874e-21 0
3705.0 0.0 1.0159300613024874e-21 0
3706.0 0.0 1.0159300613024874e-21 0
3707.0 0.0 1.0159300613024874e-21 0
3708.0 0.0 1.0159300613024874e-21 0
3709.0 0.0 1.0159300613024874e-21 0
3710.0 0.0 1.0159300613024874e-21 0
3711.0 0.0 1.0159300613024874e-21 0
3712.0 -1.7778873644093996e-18 1.0159300613024874e-21 0
3713.0 -1.5444723851421845e-17 1.0159300613024874e-21 0
3714.0 -2.5254570667177558e-17 1.0159300613024874e-21 0
3715.0 -1.503144546222274e-17 1.0159300613024874e-21 0
3716.0 -6.370648652065025e-18 1.0159300613024874e-21 0
3717.0 -4.250526745683052e-18 1.0159300613024874e-21 0
3718.0 -4.802048721418853e-18 1.0159300613024874e-21 0
3719.0 -1.4599917370766602e-17 1.0159300613024874e-21 0
3720.0 -1.5950356988941617e-17 1.0159300613024874e-21 0
3721.0 7.31031278868384e-18 1.0159300613024874e-21 0
3722.0 2.3096140958806372e-17 1.0159300613024874e-21 0
3723.0 2.0302066228400756e-17 1.0159300613024874e-21 0
3724.0 1.5647100302607173e-17 1.0159300613024874e-21 0
3725.0 7.005768390059681e-18 1.0159300613024874e-21 0
3726.0 3.1335791093718847e-18 1.0159300613024874e-21 0
3727.0 8.133541959995919e-18 1.0159300613024874e-21 0
3728.0 8.610640552020877e-18 1.0159300613024874e-21 0
3729.0 1.7386690128248996e-18 1.0159300613024874e-21 0
3730.0 2.133126550362981e-19 1.0159300613024874e-21 0
3731.0 6.308127368524301e-18 1.0159300613024874e-21 0
3732.0 7.622096215979131e-18 1.0159300613024874e-21 0
3733.0 2.9417650853815614e-18 1.0159300613024874e-21 0
3734.0 -1.926347259913384e-18 1.0159300613024874e-21 0
3735.0 -7.001963644846678e-18 1.0159300613024874e-21 0
3736.0 -7.591234764871713e-18 1.0159300613024874e-21 0
3737.0 -3.807784237626412e-18 1.0159300613024874e-21 0
3738.0 1.831291888831245e-18 1.0159300613024874e-21 0
3739.0 9.065314797757013e-18 1.0159300613024874e-21 0
3740.0 7.763731607073197e-18 1.0159300613024874e-21 0
3741.0 2.133455163980335e-22 1.0159300613024874e-21 0
3742.0 -1.0044689258209963e-18 1.0159300613024874e-21 0
3743.0 2.487470058705246e-18 1.0159300613024874e-21 0
3744.0 2.09892413306968e-18 1.0159300613024874e-21 0
3745.0 -5.505579859391041e-19 1.0159300613024874e-21 0
3746.0 4.10219900756111e-19 1.0159300613024874e-21 0
3747.0 3.204312016059569e-18 1.0159300613024874e-21 0
3748.0 8.460796003431609e-18 1.0159300613024874e-21 0
3749.0 1.4800063809725352e-17 1.0159300613024874e-21 0
3750.0 1.9641344873889862e-17 1.0159300613024874e-21 0
3751.0 2.391708770264998e-17 1.0159300613024874e-21 0
3752.0 2.1561001148597e-17 1.0159300613024874e-21 0
3753.0 1.7079498442263872e-17 1.0159300613024874e-21 0
3754.0 7.191914375390121e-18 1.0159300613024874e-21 0
3755.0 -4.1443850616975175e-18 1.0159300613024874e-21 0
3756.0 -1.0760233586334021e-18 1.0159300613024874e-21 0
3757.0 5.153970227897117e-18 1.0159300613024874e-21 0
3758.0 9.188198980884382e-19 1.0159300613024874e-21 0
3759.0 -5.143199439892041e-18 1.0159300613024874e-21 0
3760.0 6.028595556611537e-18 1.0159300613024874e-21 0
3761.0 1.9489712923393524e-17 1.0159300613024874e-21 0
3762.0 1.0219961117482756e-17 1.0159300613024874e-21 0
