wavelength flux error flag
3691.0 7.679988864504194e-18 1.443293899382383e-16 0
3692.0 1.7461881580568537e-17 3.2815838960738564e-16 0
3693.0 1.9627458783768784e-17 3.502225654896879e-16 0
3694.0 2.0081157767561468e-17 3.3592773312984507e-16 0
3695.0 1.962436462318487e-17 3.293032934673401e-16 0
3696.0 1.900417231102213e-17 3.240554014372214e-16 0
3697.0 1.9667211417098456e-17 3.2525432491285806e-16 0
3698.0 2.0506556385901832e-17 3.2733898992617006e-16 0
3699.0 1.631910303948078e-17 3.3054886619027127e-16 0
3700.0 1.1637919602448875e-17 3.338692602468063e-16 0
3701.0 7.52418941319772e-18 3.402017513585942e-16 0
3702.0 3.4454458390793604e-18 3.4671995482787923e-16 0
3703.0 7.777389860272314e-18 3.3937023510254895e-16 0
3704.0 1.232989019368631e-17 3.3167923601689613e-16 0
3705.0 1.4676234159971742e-17 3.324213591746312e-16 0
3706.0 1.699935027696796e-17 3.331633148226012e-16 0
3707.0 1.870059121076296e-17 3.3390078576066437e-16 0
3708.0 2.0191572073149526e-17 3.346102621719412e-16 0
3709.0 1.8771692107671373e-17 3.349321796383777e-16 0
3710.0 1.750842033198301e-17 3.348892647876911e-16 0
3711.0 1.7674811136725794e-17 3.3151582735946233e-16 0
3712.0 1.7830128571487716e-17 3.286528872314211e-16 0
3713.0 1.7911397033882973e-17 3.292037046622973e-16 0
3714.0 1.7355489015337284e-17 3.30904889220219e-16 0
3715.0 1.3490124736104852e-17 3.3858101134185465e-16 0
3716.0 1.0486212867784734e-17 3.454157070823699e-16 0
3717.0 1.1088764393214197e-17 3.487277782372366e-16 0
3718.0 1.1686606177444012e-17 3.510014962292277e-16 0
3719.0 1.226814792252324e-17 3.4968155663165274e-16 0
3720.0 1.1783140081118637e-17 3.505106579994097e-16 0
3721.0 8.190800002635119e-18 3.576008693568052e-16 0
3722.0 4.8023174490508524e-18 3.629165382821069e-16 0
3723.0 1.9205550665493044e-18 3.6382130088825977e-16 0
3724.0 1.2633699162320197e-18 3.6505973095239503e-16 0
3725.0 5.371632114617817e-18 3.67012937145669e-16 0
3726.0 1.0215623248246915e-17 3.6827804959652826e-16 0
3727.0 1.6428308829653787e-17 3.682630845083926e-16 0
3728.0 2.0339894020228992e-17 3.6675257936939014e-16 0
3729.0 2.0512488344772804e-17 3.6281201484999086e-16 0
3730.0 1.9901841293512857e-17 3.589986984067792e-16 0
3731.0 1.8174892980385096e-17 3.553667400894361e-16 0
3732.0 1.7201088174350352e-17 3.571562904776051e-16 0
3733.0 1.7171586580454895e-17 3.657434140202139e-16 0
