wavelength flux error flag
3691.0 1.3928446538760573e-17 1.798726546283633e-16 0
3692.0 1.2291044210385221e-17 4.0897260561156914e-16 0
3693.0 1.0777521018649634e-17 4.360137875082739e-16 0
3694.0 9.291841473293252e-18 4.176393080848493e-16 0
3695.0 9.837417898139445e-18 3.6441728852779855e-16 0
3696.0 1.074752854005689e-17 3.049414432856455e-16 0
3697.0 1.0794899057528644e-17 3.5098040736829776e-16 0
3698.0 1.0723735895269916e-17 4.115162729638656e-16 0
3699.0 1.0527585735233134e-17 4.2094266959219974e-16 0
3700.0 1.0319159402995205e-17 4.253491149191581e-16 0
3701.0 9.363218813945254e-18 4.3132783967530933e-16 0
3702.0 8.361189857771417e-18 4.3740350410972573e-16 0
3703.0 7.147579369474225e-18 3.9537043988081507e-16 0
3704.0 5.9477321820397975e-18 3.522671346017874e-16 0
3705.0 8.940705480306525e-18 3.6277346010775297e-16 0
3706.0 1.1913472315564096e-17 3.7391579017538946e-16 0
3707.0 1.434525501883389e-17 4.020857601412036e-16 0
3708.0 1.6468918834628634e-17 4.1396188163628697e-16 0
3709.0 1.432695487873798e-17 2.0026438408469384e-16 0
3710.0 1.2434834305459717e-17 2.90289024237521e-17 0
3711.0 1.2823512300690063e-17 2.4542548068267954e-16 0
3712.0 1.3027475688177727e-17 4.2991167325207185e-16 0
3713.0 1.1996230019334737e-17 4.01009234156628e-16 0
3714.0 1.1064293904041012e-17 3.8119161957727477e-16 0
3715.0 1.0648165627816106e-17 4.085600362959021e-16 0
3716.0 1.0924796434615635e-17 4.2938324470220214e-16 0
3717.0 1.4101657413119286e-17 4.228049926402737e-16 0
3718.0 1.6773982302838093e-17 4.1713403404482813e-16 0
3719.0 1.7700147976698018e-17 4.1460314586893043e-16 0
3720.0 1.7928873387210335e-17 4.1367871038524045e-16 0
3721.0 1.6125645814756803e-17 4.1743458447280655e-16 0
3722.0 1.4464640765290504e-17 4.2161142880954993e-16 0
3723.0 1.3157152326091705e-17 4.2683466138626263e-16 0
3724.0 1.2311418450591514e-17 4.2990241912966313e-16 0
3725.0 1.2454846483922194e-17 4.283527593786312e-16 0
3726.0 1.2436321155339817e-17 4.337181740301202e-16 0
3727.0 1.2116510045226989e-17 4.519478699234101e-16 0
3728.0 1.0917315709550116e-17 4.623022316754533e-16 0
3729.0 8.28923723599483e-18 4.598601928278584e-16 0
3730.0 6.457451978185589e-18 4.615017461066784e-16 0
3731.0 5.760569892009624e-18 4.68963368631703e-16 0
3732.0 6.508953681978726e-18 4.625401466184347e-16 0
3733.0 9.069434630571465e-18 4.3870788745078343e-16 0
3734.0 1.0061792572787893e-17 4.001159939037719e-16 0
3735.0 9.321326180060513e-18 3.4521424869114986e-16 0
3736.0 8.007950197958246e-18 3.602988166340077e-16 0
3737.0 6.136174446006884e-18 4.435971863413771e-16 0
3738.0 5.626282379727266e-18 4.817740148870189e-16 0
3739.0 6.286956188093882e-18 4.811679893232721e-16 0
3740.0 6.983580914494294e-18 4.771441664150052e-16 0
3741.0 7.707422512826422e-18 4.705328782151169e-16 0
3742.0 6.741621093950469e-18 4.653702085912772e-16 0
3743.0 4.651708257517718e-18 4.611712979771434e-16 0
3744.0 2.929840953359059e-18 4.615491446982143e-16 0
3745.0 1.422412690710062e-18 4.64593605656169e-16 0
3746.0 3.17803917636241e-18 4.653783607582335e-16 0
3747.0 6.590666733776074e-18 4.650156220810334e-16 0
3748.0 6.736160067964939e-18 4.636154997704852e-16 0
