wavelength flux error flag
3691.0 1.5468024649569583e-17 4.3541857337644916e-16 0
3692.0 1.6445116834329594e-17 4.172434133299502e-16 0
3693.0 1.706516130551869e-17 3.9797351728602014e-16 0
3694.0 1.7604954085044148e-17 3.784575633277563e-16 0
3695.0 1.8052824706529108e-17 3.7321408992838475e-16 0
3696.0 1.8484198750327974e-17 3.705319911674254e-16 0
3697.0 2.234783236093171e-17 3.618544940713143e-16 0
3698.0 2.6683031330228984e-17 3.5235327659176546e-16 0
3699.0 2.712952843737338e-17 3.4839732249260925e-16 0
3700.0 2.719407882567998e-17 3.449860219123679e-16 0
3701.0 2.5997900667659397e-17 3.575477986485805e-16 0
3702.0 2.472399165760865e-17 3.710944034930871e-16 0
3703.0 2.8332773718018047e-17 3.645387292623141e-16 0
3704.0 3.205863923213625e-17 3.574613846613641e-16 0
3705.0 3.2156332483817834e-17 3.5683065930704673e-16 0
3706.0 3.2235445525733486e-17 3.5632956666145027e-16 0
3707.0 3.1817113831882136e-17 3.5929910805867554e-16 0
3708.0 3.118036401622755e-17 3.6199887446393023e-16 0
3709.0 2.751981253155429e-17 3.6096384970696135e-16 0
3710.0 2.4373014402068633e-17 3.589708306535607e-16 0
3711.0 2.5916226089237974e-17 3.482323647642485e-16 0
3712.0 2.7494269047306508e-17 3.411537744103705e-16 0
3713.0 2.930523295182298e-17 3.585492170615536e-16 0
3714.0 3.0465503158432105e-17 3.7312873483968847e-16 0
3715.0 2.824610949366168e-17 3.7308250844884356e-16 0
3716.0 2.6471968667094514e-17 3.6935651933722045e-16 0
3717.0 2.656187516525718e-17 3.502252340280787e-16 0
3718.0 2.6325357471317207e-17 3.385816011866111e-16 0
3719.0 2.4959111648925412e-17 3.5285213712753436e-16 0
3720.0 2.453403197811962e-17 3.655770851727544e-16 0
3721.0 2.68509869584285e-17 3.73799049808276e-16 0
3722.0 2.828018613166717e-17 3.8024594354228923e-16 0
3723.0 2.750272761757931e-17 3.8228061736270957e-16 0
3724.0 2.6375055417911415e-17 3.8421641819292597e-16 0
3725.0 2.4497162072723558e-17 3.8594041517016355e-16 0
3726.0 2.35492587110724e-17 3.901167511877455e-16 0
3727.0 2.4331438354155436e-17 3.9885523321835346e-16 0
3728.0 2.4973590242504843e-17 4.0617741921724344e-16 0
3729.0 2.5388215118983772e-17 4.111983071296662e-16 0
3730.0 2.6410180393431735e-17 4.1073860731660783e-16 0
3731.0 2.829774709494986e-17 4.024677943745303e-16 0
3732.0 3.0963797237461805e-17 3.9293477002179217e-16 0
3733.0 3.46059222010462e-17 3.8181916508745126e-16 0
3734.0 3.43274759679041e-17 3.7911041739651006e-16 0
3735.0 2.9716677521993596e-17 3.8569150650569663e-16 0
3736.0 2.58777779297428e-17 3.911807518489018e-16 0
3737.0 2.279122766140656e-17 3.9560580605454817e-16 0
3738.0 2.0069396859547333e-17 3.8585010196021047e-16 0
3739.0 1.766104962883948e-17 3.6390575656176597e-16 0
3740.0 1.8940024434335826e-17 3.704740658304193e-16 0
3741.0 2.3010509919365585e-17 3.986280622789716e-16 0
3742.0 2.5914091967633038e-17 4.010250349133132e-16 0
3743.0 2.804133874087995e-17 3.8628598280339905e-16 0
3744.0 2.7746276807995322e-17 3.803716517123145e-16 0
3745.0 2.6039874397822893e-17 3.7959897987511457e-16 0
3746.0 2.5540219133381117e-17 3.8937760344499474e-16 0
3747.0 2.5653358157745414e-17 4.045142455424842e-16 0
3748.0 2.482560829775885e-17 4.003661985968072e-16 0
3749.0 2.3584122804977752e-17 3.8773812477736714e-16 0
3750.0 2.3351662663635623e-17 3.921949615991681e-16 0
3751.0 2.3500142086498168e-17 4.0310190238007035e-16 0
3752.0 2.2962186181554868e-17 4.0571711541344327e-16 0
3753.0 2.2204236569144474e-17 4.0567493618479857e-16 0
3754.0 2.438330958234986e-17 4.07476071032968e-16 0
3755.0 2.7349442489150708e-17 4.0977117503496915e-16 0
3756.0 2.831494160132316e-17 4.1464042127404477e-16 0
3757.0 2.884132815606056e-17 4.200746575597537e-16 0
3758.0 2.633882591787982e-17 4.25079525306965e-16 0
3759.0 2.330757958318056e-17 4.3000943946707458e-16 0
3760.0 2.520340552318833e-17 4.2202199442363943e-16 0
3761.0 2.7753738733585758e-17 4.1231862051990407e-16 0
3762.0 2.643996172730335e-17 4.156294276039637e-16 0
3763.0 2.476305838995358e-17 4.201632308058735e-16 0
3764.0 2.343654389841032e-17 4.266740246408403e-16 0
3765.0 2.2130242464321416e-17 4.332988661280967e-16 0
3766.0 2.474627265877745e-17 4.439361042810373e-16 0
3767.0 2.743288176827246e-17 4.545949382459773e-16 0
3768.0 2.739112439914282e-17 4.563268547532346e-16 0
3769.0 2.7257512738965452e-17 4.58088759257879e-16 0
3770.0 2.489269014941943e-17 4.605790951374452e-16 0
3771.0 2.2690381083765922e-17 4.626652527394091e-16 0
3772.0 2.2617691832106114e-17 4.59454952251297e-16 0
3773.0 2.2557446255265678e-17 4.569680881501421e-16 0
3774.0 2.260644246475923e-17 4.60832200296551e-16 0
3775.0 2.2389750864430946e-17 4.653198638137473e-16 0
3776.0 2.0450384520467073e-17 4.738505287713751e-16 0
3777.0 1.8676225782742766e-17 4.8003288373014625e-16 0
3778.0 1.773822787387891e-17 4.743298002411377e-16 0
3779.0 1.8039455876789387e-17 4.666664118785393e-16 0
3780.0 2.3413017503441603e-17 4.50979207818884e-16 0
3781.0 2.7408432295045534e-17 4.3659363000976383e-16 0
3782.0 2.672959814885976e-17 4.266227669206101e-16 0
3783.0 2.578974122330222e-17 4.181497188095315e-16 0
3784.0 2.4103342685433316e-17 4.1396051600638963e-16 0
3785.0 2.3936689368728108e-17 4.1002592793428107e-16 0
3786.0 2.7483148863518183e-17 4.0671342651632327e-16 0
3787.0 3.013087005347554e-17 4.0558738141612413e-16 0
3788.0 3.088434308095245e-17 4.090696754063891e-16 0
3789.0 3.063530818908004e-17 4.160493967928082e-16 0
3790.0 2.854997677219151e-17 4.2943536560141486e-16 0
3791.0 2.6952952153893894e-17 4.375045888187594e-16 0
3792.0 2.613758342776787e-17 4.3706304476728883e-16 0
3793.0 2.6439072467009503e-17 4.3839211712611417e-16 0
3794.0 2.8309327801973584e-17 4.4220824149214915e-16 0
3795.0 2.913987071285284e-17 4.4136717073979714e-16 0
3796.0 2.8685321287169143e-17 4.3476977197031536e-16 0
3797.0 2.7303197990321425e-17 4.3155483927395037e-16 0
3798.0 2.4910494016332746e-17 4.320250630495838e-16 0
3799.0 2.300454945867203e-17 4.3417267157923433e-16 0
3800.0 2.156637574860577e-17 4.3793222979451755e-16 0
3801.0 2.1173279627222693e-17 4.4215801169947227e-16 0
3802.0 2.1665761954599746e-17 4.467788625029905e-16 0
3803.0 2.163204188982115e-17 4.509022903522769e-16 0
3804.0 2.1205662091237367e-17 4.546545340950121e-16 0
3805.0 2.288637859858088e-17 4.503496162859284e-16 0
3806.0 2.5948408072515153e-17 4.4076280334270335e-16 0
3807.0 2.7619913009885105e-17 4.4246754048902283e-16 0
3808.0 2.8493478180506316e-17 4.506518302126341e-16 0
3809.0 2.7371821441391855e-17 4.614526655252932e-16 0
3810.0 2.5252921940183362e-17 4.735612907823362e-16 0
3811.0 2.4920096358090336e-17 4.575893116225347e-16 0
3812.0 2.535964203918879e-17 4.294741329722217e-16 0
3813.0 2.6582756111689303e-17 4.3013075293423565e-16 0
3814.0 2.809646368389039e-17 4.414576573834479e-16 0
3815.0 2.664935517707778e-17 4.473257498968681e-16 0
3816.0 2.4271502002590645e-17 4.514778425084067e-16 0
3817.0 2.330881397604074e-17 4.5400344012736845e-16 0
3818.0 2.2717356011284922e-17 4.561023710512931e-16 0
3819.0 2.2621724301303908e-17 4.574664599375786e-16 0
3820.0 2.2632325412424263e-17 4.58673105884991e-16 0
3821.0 2.2368242265600773e-17 4.586138875926866e-16 0
3822.0 2.2057541892405282e-17 4.583398368951297e-16 0
3823.0 2.080495270099197e-17 4.579582749713492e-16 0
3824.0 1.9431498291109853e-17 4.575629169735588e-16 0
3825.0 2.0625628715332035e-17 4.488662524529265e-16 0
3826.0 2.2050228969447765e-17 4.3942445161710765e-16 0
3827.0 2.3865575322964833e-17 4.420575384735814e-16 0
3828.0 2.5701923909495777e-17 4.453396391150128e-16 0
3829.0 2.329729888807236e-17 4.49133368562153e-16 0
3830.0 2.084741739285052e-17 4.528203364538141e-16 0
3831.0 2.1750142131824106e-17 4.466344843309236e-16 0
3832.0 2.265426448952051e-17 4.410885818076615e-16 0
3833.0 2.358943627577632e-17 4.497597680016826e-16 0
3834.0 2.4413664650828998e-17 4.577532042947059e-16 0
3835.0 2.3858347945363953e-17 4.573190419443911e-16 0
3836.0 2.3627495663336008e-17 4.562397779456663e-16 0
3837.0 2.613910435518115e-17 4.497079405146837e-16 0
3838.0 2.8461962496961415e-17 4.43772226268223e-16 0
3839.0 2.959738813779818e-17 4.415867317886673e-16 0
3840.0 3.0338799920487817e-17 4.396196186447706e-16 0
3841.0 2.9136080123781386e-17 4.387300362582989e-16 0
3842.0 2.7788524815913574e-17 4.4021557323770903e-16 0
3843.0 2.5861178106697925e-17 4.51208956562748e-16 0
3844.0 2.446236096036656e-17 4.58766453802099e-16 0
3845.0 2.4820681877664864e-17 4.54901077757861e-16 0
3846.0 2.500283443769564e-17 4.511141067450501e-16 0
3847.0 2.4690285277780717e-17 4.475473063945581e-16 0
3848.0 2.5563173260052233e-17 4.430818335108368e-16 0
3849.0 2.9283309459975407e-17 4.3645787944120415e-16 0
3850.0 3.023602095548955e-17 4.3195922380619225e-16 0
3851.0 2.544931969716513e-17 4.3186826349959955e-16 0
3852.0 2.2041548184266708e-17 4.3426580267999703e-16 0
3853.0 2.1120880970181694e-17 4.4115171974347236e-16 0
3854.0 2.1592031725272663e-17 4.466271439242132e-16 0
3855.0 2.425816789362547e-17 4.498781311658729e-16 0
3856.0 2.6279432062330706e-17 4.536339551517047e-16 0
3857.0 2.7407958367273583e-17 4.580886571734678e-16 0
3858.0 2.6859095255531337e-17 4.602790982428502e-16 0
3859.0 2.4266369365658887e-17 4.597105862423545e-16 0
3860.0 2.2765948290998848e-17 4.616767766349105e-16 0
3861.0 2.2438851700675324e-17 4.66365676235423e-16 0
3862.0 2.2429776660625683e-17 4.7556497737344065e-16 0
3863.0 2.272202530200439e-17 4.890378593264397e-16 0
3864.0 2.301631600349956e-17 4.926680334954047e-16 0
3865.0 2.331231263977298e-17 4.880756203930607e-16 0
3866.0 2.3111822828655067e-17 4.989862061908627e-16 0
3867.0 2.2546164682567978e-17 5.212993273955036e-16 0
3868.0 2.0692922585187478e-17 5.446989556879781e-16 0
3869.0 1.8007999382336152e-17 5.688003847562416e-16 0
3870.0 1.8111547860959145e-17 5.755078817624928e-16 0
3871.0 1.9790963027174452e-17 5.72385435619285e-16 0
3872.0 2.035319054199994e-17 5.629527559717331e-16 0
3873.0 2.0365863974961185e-17 5.504160189390904e-16 0
3874.0 1.9738607471471427e-17 5.349010704612926e-16 0
3875.0 1.883923575932069e-17 5.181197073610919e-16 0
3876.0 1.9189373933129387e-17 5.132642250643609e-16 0
3877.0 1.999464660305248e-17 5.127527498148728e-16 0
3878.0 2.2498630564901623e-17 5.030485322861732e-16 0
3879.0 2.5526289413007714e-17 4.905103968984846e-16 0
3880.0 2.4898572465261068e-17 4.866251892321492e-16 0
