wavelength flux error flag
3691.0 1.2665621605187554e-17 4.2925885254251857e-16 0
3692.0 1.3254162688714774e-17 4.269674998968425e-16 0
3693.0 1.3756594819706491e-17 4.177052152430748e-16 0
3694.0 1.4239672705185065e-17 4.0687611174449063e-16 0
3695.0 1.4345765362616237e-17 4.0270988022672317e-16 0
3696.0 1.438420331922702e-17 3.997393841832646e-16 0
3697.0 1.303547528322176e-17 3.960478453779617e-16 0
3698.0 1.1496161594778676e-17 3.9225724099151473e-16 0
3699.0 9.344447275541706e-18 4.0274890426160966e-16 0
3700.0 7.132583214864691e-18 4.1464336606508435e-16 0
3701.0 5.7651942176519005e-18 4.1500163204092165e-16 0
3702.0 4.449871754819195e-18 4.1464862806615664e-16 0
3703.0 3.636032049056824e-18 4.1498199932955523e-16 0
3704.0 2.8332781575668836e-18 4.1533167234156407e-16 0
3705.0 1.4566351092523883e-18 4.15137677470386e-16 0
3706.0 2.8775981879997006e-19 4.1500629881447236e-16 0
3707.0 4.681414699566637e-18 4.1655133323727546e-16 0
3708.0 8.957810470597609e-18 4.039624120009589e-16 0
3709.0 1.1610859750050117e-17 1.9570163735321227e-16 0
3710.0 1.3916970616826766e-17 2.7402417739417557e-17 0
3711.0 1.3055910807646855e-17 2.2390876777410535e-16 0
3712.0 1.1928940104295917e-17 3.932358492032047e-16 0
3713.0 9.023790898059098e-18 3.808118545461393e-16 0
3714.0 6.0948340898095666e-18 3.69709002799919e-16 0
3715.0 3.042222030794105e-18 3.6546808775152125e-16 0
3716.0 8.470958933561752e-19 3.663157454589002e-16 0
3717.0 2.2418274748721027e-18 3.8846667092393094e-16 0
3718.0 3.537425783536117e-18 4.0478956019306034e-16 0
3719.0 4.489931731046083e-18 4.009420804042649e-16 0
3720.0 5.0929282575523985e-18 3.986683275280157e-16 0
3721.0 4.677648742503199e-18 4.009795395044881e-16 0
3722.0 4.059141787663014e-18 4.029259957192046e-16 0
3723.0 2.9354808380881022e-18 4.039657937073399e-16 0
3724.0 2.1374917058837552e-18 4.0745044097536134e-16 0
3725.0 2.037150592450159e-18 4.161723982141286e-16 0
3726.0 2.7767119951334107e-18 4.230564256140664e-16 0
3727.0 5.0787644939478136e-18 4.265213073948654e-16 0
3728.0 5.2989228997309355e-18 4.3088935585183646e-16 0
3729.0 2.1362723551078055e-18 4.3672493348144446e-16 0
3730.0 1.1229257761263592e-18 4.4107463811962997e-16 0
3731.0 3.1728376039434525e-18 4.4330662790446246e-16 0
3732.0 5.132428115430388e-18 4.44873173075583e-16 0
3733.0 6.978772335431093e-18 4.456053732907808e-16 0
3734.0 6.560232542314374e-18 4.479759729309421e-16 0
3735.0 3.638925990597311e-18 4.5215705451824035e-16 0
3736.0 1.6159691689660513e-18 4.559109612796715e-16 0
3737.0 4.686099840775324e-19 4.592485120769623e-16 0
3738.0 8.288418797815145e-19 4.593586900559233e-16 0
3739.0 2.484878028395817e-18 4.566948774763337e-16 0
3740.0 4.559125113054722e-18 4.524893944119545e-16 0
3741.0 6.949981455815736e-18 4.471167798683184e-16 0
3742.0 5.650354732424235e-18 4.415234119889268e-16 0
3743.0 1.8954672772025616e-18 4.357831779711503e-16 0
3744.0 -2.562827996268037e-18 4.312575969585581e-16 0
3745.0 -7.430958697990405e-18 4.2743972464871575e-16 0
3746.0 -5.4111057598804184e-18 4.249565647900595e-16 0
3747.0 1.0651143714006245e-19 4.2315118086000513e-16 0
3748.0 1.6757270103787319e-18 4.2127993782496e-16 0
3749.0 1.5087179650543104e-18 4.1937973466621503e-16 0
3750.0 1.0325639042564317e-18 4.2388241502142236e-16 0
3751.0 4.396976445999607e-19 4.3080239009769883e-16 0
3752.0 3.752348911497847e-19 4.3628168867847546e-16 0
3753.0 4.80118675763882e-19 4.412992689433858e-16 0
3754.0 4.097242058196142e-18 4.3546066870939625e-16 0
3755.0 8.655571306742889e-18 4.267128419022795e-16 0
3756.0 9.40866048332546e-18 4.3563581845407237e-16 0
3757.0 9.326549982615295e-18 4.48437301744928e-16 0
3758.0 6.315459893059174e-18 4.538881211200497e-16 0
3759.0 2.7930665592088038e-18 4.580557569857526e-16 0
3760.0 2.1979066867369768e-18 4.128523380644601e-16 0
3761.0 1.9915975304268196e-18 3.6109051843312e-16 0
